Length,Curl,KinkIndex,NumberKink,TotalKinkAngle,Width
 0.255,  0.04,  0.00,0,  0.00,    12
 0.041,  0.00,  0.00,0,  0.00,     0
 0.506,  0.01,  0.00,0,  0.00,    20
 0.081,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.736,  0.05,  0.00,0,  0.00,    38
 0.227,  0.04,  0.00,0,  0.00,    25
 0.144,  0.07,  0.00,0,  0.00,     0
 0.131,  0.00,  0.00,0,  0.00,     0
 0.225,  0.04,  0.00,0,  0.00,    21
 0.506,  0.19,  0.00,0,  0.00,    38
 0.086,  0.00,  0.00,0,  0.00,     0
 0.114,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.324,  0.03,  0.00,0,  0.00,    15
 0.400,  0.02,  0.00,0,  0.00,    50
 0.400,  0.49,  0.00,0,  0.00,    45
 0.113,  0.00,  0.00,0,  0.00,     0
 0.347,  0.07,  0.00,0,  0.00,    29
 0.068,  0.00,  0.00,0,  0.00,     0
 0.128,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.685,  0.04,  0.00,0,  0.00,    47
 0.081,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.249,  0.02,  0.00,0,  0.00,    24
 0.086,  0.00,  0.00,0,  0.00,     0
 0.632,  0.06,  1.58,1, 20.41,    23
 0.068,  0.00,  0.00,0,  0.00,     0
 1.163,  0.02,  0.00,0,  0.00,    67
 0.054,  0.00,  0.00,0,  0.00,     0
 0.141,  0.00,  0.00,0,  0.00,     0
 0.161,  0.05,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.141,  0.04,  0.00,0,  0.00,     0
 0.265,  0.03,  0.00,0,  0.00,    21
 0.444,  0.03,  0.00,0,  0.00,    14
 0.282,  0.07,  0.00,0,  0.00,    16
 0.041,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.209,  0.03,  0.00,0,  0.00,    19
 0.068,  0.00,  0.00,0,  0.00,     0
 0.630,  0.02,  0.00,0,  0.00,    21
 0.068,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.154,  0.04,  0.00,0,  0.00,     0
 0.100,  0.00,  0.00,0,  0.00,     0
 0.302,  0.02,  0.00,0,  0.00,    13
 0.081,  0.00,  0.00,0,  0.00,     0
 0.351,  0.00,  0.00,0,  0.00,    31
 0.145,  0.02,  0.00,0,  0.00,     0
 0.140,  0.03,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.127,  0.00,  0.00,0,  0.00,     0
 0.102,  0.00,  0.00,0,  0.00,     0
 0.288,  0.45,  0.00,0,  0.00,     0
 0.223,  0.03,  0.00,0,  0.00,    28
 0.378,  0.02,  0.00,0,  0.00,    66
 0.152,  0.00,  0.00,0,  0.00,     0
 0.415,  0.02,  0.00,0,  0.00,    33
 0.081,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.101,  0.00,  0.00,0,  0.00,     0
 0.432,  0.19,  0.00,0,  0.00,     0
 0.207,  0.05,  0.00,0,  0.00,     0
 0.144,  0.01,  0.00,0,  0.00,     0
 0.468,  0.16,  0.00,0,  0.00,    76
 0.234,  0.02,  0.00,0,  0.00,    30
 0.114,  0.00,  0.00,0,  0.00,     0
 0.183,  0.03,  0.00,0,  0.00,    17
 1.013,  0.01,  0.00,0,  0.00,    19
 0.138,  0.81,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.907,  0.21,  3.31,1, 68.71,    32
 0.146,  0.03,  0.00,0,  0.00,     0
 0.209,  0.03,  0.00,0,  0.00,    15
 0.210,  0.01,  0.00,0,  0.00,    38
 0.208,  0.03,  0.00,0,  0.00,    19
 0.209,  0.39,  0.00,0,  0.00,    39
 0.585,  0.12,  3.42,1, 42.67,    15
 0.101,  0.00,  0.00,0,  0.00,     0
 0.369,  0.01,  0.00,0,  0.00,    26
 0.318,  0.02,  0.00,0,  0.00,    31
 0.041,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.236,  0.03,  0.00,0,  0.00,    33
 0.532,  0.32,  0.00,0,  0.00,    20
 0.100,  0.00,  0.00,0,  0.00,     0
 0.194,  0.03,  0.00,0,  0.00,    32
 0.305,  0.06,  0.00,0,  0.00,    25
 0.041,  0.00,  0.00,0,  0.00,     0
 0.114,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.563,  0.02,  0.00,0,  0.00,    25
 0.236,  0.02,  0.00,0,  0.00,    34
 0.294,  0.28,  0.00,0,  0.00,    32
 0.128,  0.00,  0.00,0,  0.00,     0
 0.431,  0.37,  0.00,0,  0.00,    59
 0.099,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.318,  0.02,  0.00,0,  0.00,    25
 0.107,  0.00,  0.00,0,  0.00,     0
 0.413,  0.02,  0.00,0,  0.00,    38
 0.113,  0.00,  0.00,0,  0.00,     0
 0.360,  0.02,  0.00,0,  0.00,    46
 0.976,  0.02,  0.00,0,  0.00,    21
 0.174,  0.02,  0.00,0,  0.00,     0
 0.220,  0.03,  0.00,0,  0.00,    18
 0.913,  0.03,  0.00,0,  0.00,    33
 0.461,  0.16,  0.00,0,  0.00,    28
 0.068,  0.00,  0.00,0,  0.00,     0
 0.126,  0.00,  0.00,0,  0.00,     0
 0.276,  0.02,  0.00,0,  0.00,    25
 0.236,  0.03,  0.00,0,  0.00,    12
 0.113,  0.00,  0.00,0,  0.00,     0
 0.175,  0.12,  0.00,0,  0.00,     0
 0.227,  0.05,  0.00,0,  0.00,    25
 0.087,  0.00,  0.00,0,  0.00,     0
 0.128,  0.00,  0.00,0,  0.00,     0
 0.101,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.145,  0.00,  0.00,0,  0.00,     0
 0.180,  0.03,  0.00,0,  0.00,    15
 0.041,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.101,  0.00,  0.00,0,  0.00,     0
 0.226,  0.04,  0.00,0,  0.00,    24
 0.081,  0.00,  0.00,0,  0.00,     0
 1.226,  0.03,  0.00,0,  0.00,    25
 0.716,  0.02,  0.00,0,  0.00,    20
 0.156,  0.03,  0.00,0,  0.00,     0
 0.180,  0.03,  0.00,0,  0.00,    43
 0.041,  0.00,  0.00,0,  0.00,     0
 0.087,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 1.003,  0.83,  3.99,1,157.72,   187
 0.336,  0.48,  0.00,0,  0.00,    95
 0.099,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.126,  0.00,  0.00,0,  0.00,     0
 0.358,  0.02,  0.00,0,  0.00,    15
 0.041,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.610,  0.03,  0.00,0,  0.00,    45
 0.309,  0.02,  0.00,0,  0.00,    23
 0.113,  0.00,  0.00,0,  0.00,     0
 0.143,  0.00,  0.00,0,  0.00,     0
 0.224,  0.03,  0.00,0,  0.00,    26
 0.090,  0.00,  0.00,0,  0.00,     0
 0.859,  0.01,  0.00,0,  0.00,    58
 0.507,  0.02,  0.00,0,  0.00,    34
 0.183,  0.04,  0.00,0,  0.00,     0
 0.736,  0.01,  0.00,0,  0.00,    19
 0.324,  0.01,  0.00,0,  0.00,    73
 0.081,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.090,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.661,  0.02,  0.00,0,  0.00,    48
 0.525,  0.05,  3.81,1, 31.58,    31
 0.054,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.749,  0.02,  0.00,0,  0.00,    31
 0.081,  0.00,  0.00,0,  0.00,     0
 0.100,  0.00,  0.00,0,  0.00,     0
 0.342,  0.01,  0.00,0,  0.00,    33
 0.329,  0.01,  0.00,0,  0.00,    24
 0.123,  0.00,  0.00,0,  0.00,     0
 0.747,  0.02,  0.00,0,  0.00,    94
 0.591,  0.02,  0.00,0,  0.00,    20
 0.081,  0.00,  0.00,0,  0.00,     0
 0.367,  0.03,  0.00,0,  0.00,    21
 0.533,  0.03,  0.00,0,  0.00,    30
 0.365,  0.17,  0.00,0,  0.00,    58
 1.061,  0.02,  0.00,0,  0.00,    28
 0.068,  0.00,  0.00,0,  0.00,     0
